Topic 1,Topic 2,Topic 3
2/0.22424912059168395,19/0.2857142857142857,24/0.4672131147540984
0/0.20785604762334264,21/0.2857142857142857,27/0.1721311475409836
4/0.19942274736177507,36/0.10714285714285714,31/0.05737704918032787
7/0.1789708667809146,14/0.10714285714285714,37/0.05737704918032787
3/0.17554342924145397,35/0.07142857142857142,15/0.05737704918032787
32/0.009628393614142689,25/0.07142857142857142,33/0.04918032786885246
16/0.004329394786687111,6/0.03571428571428571,18/0.01639344262295082
,8/0.03571428571428571,10/0.01639344262295082
,,20/0.01639344262295082
,,23/0.01639344262295082
,,26/0.00819672131147541
,,30/0.00819672131147541
,,1/0.00819672131147541
,,5/0.00819672131147541
,,29/0.00819672131147541
,,13/0.00819672131147541
,,28/0.00819672131147541
,,9/0.00819672131147541
,,17/0.00819672131147541
