,year,total_works,topic_1,topic_2
0,1951.0,1,1.0,0.0
1,1952.0,1,1.0,0.0
2,1959.0,2,0.9166666666666667,0.0833333333333333
3,1960.0,1,0.8333333333333334,0.1666666666666666
4,1964.0,1,0.8333333333333334,0.1666666666666666
5,1965.0,2,1.0,0.0
6,1966.0,3,0.888888888888889,0.11111111111111106
7,1969.0,2,0.9166666666666667,0.0833333333333333
8,1970.0,1,1.0,0.0
9,1972.0,3,1.0,0.0
10,1973.0,1,1.0,0.0
11,1974.0,2,1.0,0.0
12,1975.0,2,0.8333333333333334,0.1666666666666666
13,1976.0,1,1.0,0.0
14,1978.0,1,1.0,0.0
15,1979.0,1,1.0,0.0
16,1981.0,3,1.0,0.0
17,1982.0,3,1.0,0.0
18,1983.0,3,0.9444444444444445,0.05555555555555553
19,1984.0,5,1.0,0.0
20,1985.0,6,0.9444444444444445,0.05555555555555553
21,1986.0,2,1.0,0.0
22,1987.0,5,0.9666666666666666,0.03333333333333332
23,1988.0,5,0.8761904761904763,0.12380952380952379
24,1989.0,9,0.9444444444444444,0.05555555555555553
25,1990.0,6,1.0,0.0
26,1991.0,5,0.9,0.09999999999999995
27,1992.0,6,0.9722222222222223,0.027777777777777766
28,1993.0,13,0.9487179487179488,0.05128205128205126
29,1994.0,11,0.9588744588744589,0.04112554112554112
30,1995.0,14,0.9642857142857144,0.0357142857142857
31,1996.0,12,0.9345238095238096,0.06547619047619045
32,1997.0,10,0.9095238095238096,0.09047619047619046
33,1998.0,7,1.0,0.0
34,1999.0,14,0.9761904761904762,0.0238095238095238
35,2000.0,12,0.9206349206349206,0.07936507936507935
36,2001.0,18,0.9285714285714286,0.0714285714285714
37,2002.0,15,0.9666666666666668,0.03333333333333332
38,2003.0,17,0.9411764705882353,0.058823529411764684
39,2004.0,23,0.9492753623188406,0.0507246376811594
40,2005.0,28,0.9523809523809523,0.0476190476190476
41,2006.0,20,0.9464285714285715,0.05357142857142856
42,2007.0,21,0.9682539682539681,0.03174603174603173
43,2008.0,23,0.9565217391304348,0.0434782608695652
44,2009.0,27,0.9585537918871253,0.04144620811287476
45,2010.0,19,0.9147869674185465,0.08521303258145359
46,2011.0,17,0.9705882352941176,0.02941176470588234
47,2012.0,20,0.9833333333333332,0.01666666666666666
48,2013.0,14,0.9200680272108844,0.07993197278911564
49,2014.0,12,0.9583333333333334,0.04166666666666665
50,2015.0,15,0.9666666666666667,0.03333333333333332
51,2016.0,10,0.9833333333333334,0.01666666666666666
52,2017.0,9,0.9629629629629629,0.03703703703703702
53,2018.0,4,0.9583333333333334,0.04166666666666665
54,2019.0,7,0.9523809523809524,0.0476190476190476
55,2020.0,4,0.9285714285714286,0.07142857142857142
56,2021.0,2,1.0,0.0
