,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
0,US,323,0.11177729215627415,0.014608595417956264,0.1397184504059665,0.1399354248215706,0.07757130473947287,0.10930430128169681,0.05276743132774805,0.05155177459821622,0.04107103349400654,0.1388511312914302,0.04004182456250725,0.08280143590315396
1,JP,138,0.1897038294375481,0.02944485118261502,0.11216999257133997,0.07648202447138885,0.024940895198661654,0.12086473764744683,0.05266955976830328,0.012964143234500587,0.11394460798984202,0.14127498740213973,0.11064355415402193,0.014896816942191414
2,CA,50,0.13336961147801618,0.017664537639177212,0.1219923352011093,0.12782558057559906,0.06855587705659201,0.12324149391547873,0.08657595353642755,0.044936807375581214,0.04682540046178072,0.13835254847592457,0.04186349573025879,0.04879635855405415
3,GB,33,0.12399907988194339,0.018017178199533357,0.138489777718313,0.16696837040872692,0.07994726562779188,0.08890558115506474,0.058666127683604415,0.04398773891535302,0.021258200444124353,0.15810576709126484,0.03025667716349687,0.07139823571078273
4,FR,14,0.11097133935051902,0.016368861006710804,0.12868838547075193,0.14105927431026025,0.037197785732228116,0.1490834200734606,0.048179207014071475,0.05876675577639225,0.06947520384441262,0.13886250501076144,0.05811965777146326,0.043227604638967736
5,KR,13,0.11971107371571182,0.017493124433682138,0.11790132687053592,0.10679598527838029,0.030168430334960347,0.14246206763714636,0.05121203905167737,0.03841548679561822,0.10658086199024465,0.17022441053517154,0.05552127584405657,0.04351391751281423
6,DE,7,0.10280213187793656,0.013740158964047957,0.13114131844372331,0.13454686459918627,0.03534544831934396,0.1119915757428719,0.07513439403275658,0.05765006633027233,0.025177127699318413,0.15661914436510355,0.10723258761765521,0.04861918200778347
7,ES,6,0.08831368199808416,0.014457115560063051,0.10818371127288762,0.1387653447204855,0.016855486874593702,0.15633276981696048,0.045457989903299384,0.08170968719580902,0.12652333716269243,0.12066226459444529,0.06644382933298369,0.0362947815676952
8,MX,6,0.08905649462057567,0.013258614412373184,0.12065868873041986,0.1395625980074918,0.020592939309583485,0.13565741522676564,0.039767125772680496,0.06971903002036815,0.12195556377780581,0.13395143243461072,0.06905899755060442,0.04676110013672032
