,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
0,US,2046,0.05726766046497395,0.2987849327718791,0.07654555876979204,0.310979023867385,0.07399000269068427,0.08345798466844265,0.044969073807733066,0.054005762959110186
1,JP,1627,0.07723911240730527,0.2968421927451157,0.08553376489509487,0.294880483111647,0.06027871220788343,0.10021539375111578,0.034713405408494574,0.05029693547334344
2,GB,536,0.049551843218135466,0.3157679457132916,0.07626998868974615,0.31787584787512474,0.08056342067864844,0.07140711355438419,0.038839712234930254,0.04972412803573905
3,CA,352,0.047430358086399366,0.27471554318500524,0.0668490093583347,0.3518295109876556,0.08761983713434911,0.08374361508549305,0.04668542928860058,0.04112669687416203
4,FR,198,0.0500879585100619,0.3158446559556299,0.06659364232378737,0.2922147743280437,0.07559776496613498,0.0719054532463529,0.04933902623712176,0.07841672443286733
5,DE,190,0.04306855941361819,0.2793082383251405,0.06257822006618967,0.3435394056127878,0.09208133271619366,0.0781600314481305,0.0475174056728341,0.05374680674510533
6,CN,172,0.06419755329155839,0.32774691206704215,0.08550123013218697,0.2885321547563363,0.05991373980621272,0.09516221128362091,0.03332810610150689,0.045618092561535255
7,SE,148,0.03782044966249027,0.2861458895287695,0.0702756879412928,0.343594513205179,0.09187183449628215,0.08280504707009846,0.04736763094191878,0.04011894715396891
8,SG,128,0.0626543421748819,0.32603924996813866,0.08160873233278897,0.2974888128463465,0.06229888884421796,0.08931850404446513,0.02848075603150029,0.052110713757660306
