,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42
0,JP,237,0.12487915616748152,0.013677668356622494,0.03101453413863969,0.009508289676168485,0.020514223214799846,0.019665840834147238,0.04928713925630047,0.027267467881062275,0.02397914136404879,0.04727965397841682,0.004430471320672913,0.004862815132782059,0.012881995773386043,0.08239271343459606,0.03335712718399054,0.016909729194091203,0.03624997830219247,0.016260057393252366,0.010278204358477419,0.013263603901764507,0.018999456299958594,0.0025346702705004273,0.03659592770234464,0.028377213866142642,0.021838301242568817,0.008107620191422183,0.033415132445096744,0.00864300621990634,0.01195662254364544,0.052504199278028386,0.007573939111093492,0.021706176726936494,0.008892930674257777,0.01960384472206406,0.05811952037260287,0.003556490790493935,0.0069613015082963196,0.007378254207810456,0.0162575664270858,0.008859977123067518,0.003495572983943431,0.016662464429838476
1,US,197,0.1493267082160426,0.005678294784009418,0.02242077088604124,0.01922256838434758,0.023922007398314637,0.013895817175613044,0.04642292902446165,0.031755078419423044,0.03167905792418756,0.026170459455214366,0.01229886696032534,0.009700323794660676,0.01147646868582629,0.08113857090400839,0.040573496681246705,0.013461424307764085,0.029953570641802478,0.02501416131907887,0.020815230004707665,0.012634788323040685,0.017402262077139782,0.005432260242526857,0.030333117233805294,0.013345445544642018,0.018854732780531958,0.011045789052967936,0.01953127846134849,0.003919444618350339,0.023031762894602507,0.029440980584366408,0.019303584119112878,0.018287861265373007,0.0069153856907992195,0.015391007439254844,0.07488005310081775,0.008379801372876496,0.002791387466546016,0.025179492698320313,0.0071266975588981495,0.004023440718808859,0.005796441653724356,0.012027180135068358
2,CA,48,0.16959431740615846,0.007165680369391341,0.019094082163664178,0.029428384648701927,0.02272464396099405,0.009305208280733059,0.04638854271113935,0.030085402388294092,0.05055625247343081,0.018827135542139616,0.01631965109445554,0.010275647611735826,0.012355453988065609,0.07568877044226448,0.042928250916505185,0.01019154244126231,0.02939633247546498,0.024760000546540335,0.019504628968346586,0.009910463894400813,0.020037967380159706,0.007035810650796343,0.02324885878548846,0.009364275017857223,0.013800514577566985,0.010014110463605855,0.009861845403473254,0.0027093769540239327,0.030733044340565837,0.0168874670131471,0.02585018681880559,0.017548488743685826,0.0047787796564892964,0.0059924434232773065,0.08372646257788542,0.010818539898024568,0.0022390275518663436,0.031431461231800836,0.005051869141620285,0.003550817041821391,0.003746349261827425,0.0070719117425207005
3,GB,35,0.15992366889947784,0.003919511025084977,0.01996142358174749,0.032845470398529655,0.019292172837172612,0.009322515358637441,0.05254907098335474,0.020394224841099887,0.029373320099763026,0.017590245817653317,0.009381217928329544,0.006056989493272183,0.007637992432669019,0.08972550355153078,0.04413030396638524,0.010285562474196468,0.031907893510653595,0.0195576898939676,0.013374313980954101,0.012361490139357261,0.01405562713225982,0.021609823367377313,0.029151434358211256,0.007895260190946413,0.019788060112486457,0.02581224324230101,0.021395849819712678,0.0026574117691899658,0.0264426008616545,0.027132852957424607,0.014246450200145883,0.010562556663155958,0.00473359318609617,0.010335232656273351,0.08536471368361787,0.005645607258820728,0.00269018952721436,0.03155578432758045,0.009157125999779069,0.003093101290573211,0.004753131065271613,0.012330769116068823
4,CN,17,0.13401421520993032,0.005748983630484347,0.01946449056807223,0.018726237556166453,0.024801227289801855,0.01641591226129771,0.0561882087351483,0.022374118001122857,0.029029769067926176,0.02717225861622435,0.005615685756550418,0.005404883091636659,0.010796157232180184,0.08923654555159678,0.03592391448462438,0.01701960275579651,0.03517895583451659,0.023991492575437118,0.01348870471452982,0.015345535860525547,0.01254892228296365,0.0028242410331035766,0.033447265757806606,0.011020244133138637,0.022862862008657305,0.03510605200364824,0.01423765874224979,0.003720440905613223,0.025277686146649936,0.039861905448209146,0.013182756424155258,0.014192816142403163,0.0069789507505084,0.013579335195118418,0.08288175827155939,0.006239990831400947,0.003050560303222553,0.024555989555297645,0.0048941983480928946,0.0037106456005254296,0.0032322150908634705,0.0166566062312419
5,SG,14,0.1292933840524517,0.005831129610921021,0.015935362590677717,0.018929694629552084,0.024835593500950465,0.013264259235052658,0.06278928088744637,0.019007394048438646,0.03218029605966936,0.025675185909777982,0.005128465361618892,0.0027020279143814855,0.010662397595267681,0.08965567080205304,0.03572391511557813,0.018480765124771155,0.03771807359344388,0.027024921867382368,0.011101780318154588,0.014761302077490917,0.010925843712422058,0.0022843009237751215,0.03637901880936754,0.010721067940946417,0.022799870336399096,0.041522029341436596,0.01223300713223215,0.0035954357661536784,0.026897899758971167,0.04144887382620107,0.0122151906362681,0.010791384410270095,0.007490074754196942,0.012474098504402528,0.08349621882066752,0.006509794187612936,0.002586397208980657,0.027140918410674755,0.00413504728394955,0.002623299024266879,0.003172831043630564,0.0178564978720927
6,DE,10,0.15320531121232472,0.0043672629446848,0.018947388208342873,0.03732985962145578,0.021603272756031546,0.011388023581440648,0.05499776921561221,0.03563743300403431,0.029013059194588305,0.01212937365904025,0.01168740769023573,0.008694391319006251,0.00834827085274566,0.10032537683063739,0.04510860819663745,0.009214883754687259,0.032347284400493476,0.010576483990442132,0.019461093559852052,0.007291224079334341,0.014499907189532419,0.00597519654904676,0.02280056527152657,0.005928502152764191,0.01109924610183162,0.018571045753296312,0.005348129831115551,0.00165074588603036,0.03906297157274067,0.01671392451497871,0.0066679253114505805,0.01462551235428019,0.00555468986756537,0.0067362025650325105,0.1257489899750191,0.00766851990784851,0.0029459381123782603,0.03830097290953314,0.0031493332711359998,0.00257395057203617,0.00424023938435178,0.008463712874876371
7,SE,9,0.17387498979953678,0.001513702627653189,0.026315438096403257,0.028264959226972877,0.0172482573714338,0.010277798803787066,0.03356851052481779,0.03232452472415989,0.022597363125041015,0.0068154428037993115,0.01450960704120661,0.016399814499275123,0.007604404522608933,0.08949549869242833,0.04718994102340197,0.0044318026422709884,0.036106603296198615,0.024921500700662357,0.015866287796449132,0.01222099767124338,0.014634946997859515,0.010427589761915178,0.017825923840866592,0.0079457103445855,0.015953160044094358,0.013012571135998179,0.014580261818436179,0.0023123614439766777,0.02781084406412045,0.016265604313530514,0.0486440028707101,0.016184112254848795,0.004035582213168566,0.003718050399010367,0.09891218341865754,0.009267027970238022,0.0028995999291375773,0.03133559027850599,0.007415034143427334,0.0027165139666578885,0.005010215941460377,0.007545667859442478
8,FR,7,0.18234070766188262,0.007901073911237714,0.016840369393309844,0.03382534157481511,0.0159452822915323,0.012184730560982099,0.05850096948178032,0.018963420998717655,0.037518391024486654,0.0260816077870871,0.012566814036140243,0.003944797347437857,0.009638032898275558,0.08800334589859246,0.03229395563843499,0.007736303192103743,0.027648548165471225,0.018804359727729644,0.017999856425279757,0.010572166421030085,0.012422028052732058,0.0068346329064643,0.022947722123135856,0.015313061675549744,0.015241042005634458,0.01834655452949793,0.011202315127773515,0.004859527973658728,0.024059789262496016,0.023290489601909985,0.007364449101114828,0.011143814558994174,0.0045730984172236006,0.007728548825901229,0.1108583058049007,0.006257051209843172,0.0025108042669349426,0.025941702898459856,0.004620261131057172,0.0019045388107871712,0.010492626299806601,0.012777560979795072
9,FI,6,0.07193368413812949,0.0039405118050399165,0.013535908271208867,0.06528302235112847,0.014470650759239548,0.007636762490486118,0.06856571174155744,0.01565732213777015,0.02420362497473738,0.016502076508283385,0.003919927134397867,0.0046851178868014005,0.01497696250373805,0.12422831048899387,0.035223321726026366,0.00327052686215265,0.02295427347331608,0.006954418321461084,0.026739063060086915,0.004945727966371666,0.003544474379805067,0.011398017373533033,0.023008343860610254,0.00105212372518625,0.009053642652866666,0.00924813985619135,0.006445750943573951,0.004390176249654316,0.03354254587126275,0.006940474043438516,0.0030003047980427665,0.0028576853930020168,0.008873615144215951,0.01194298013230495,0.14940915884211495,0.003903723378156683,0.0006292722298807666,0.03557077642644308,0.0017429571954351334,0.003004003308365767,0.11002419894685378,0.010790710648133984
