,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124
0,US,2046,0.007775756134285107,0.008729853902935856,0.009383235182917747,0.004763101798357813,0.0268644485939349,0.005403136927785131,0.053762961192729886,0.006543010717072961,0.01786518306562577,0.013813408946956592,0.015873063419519804,0.012016155136697891,0.00912498255864329,0.010164761718490577,0.013872728400210503,0.012865951725805177,0.003941126384228596,0.01582157440028391,0.010454914107865506,0.009266986151705889,0.008229950861214705,0.007833854249233423,0.009806218715949958,0.010118236844761012,0.022316867745440307,0.006446042327473986,0.0020648913553901163,0.002161427013326392,0.0032320205378982437,0.017263473379077743,0.002660926285716223,0.01018397059473918,0.003320016104279516,0.0073425377666033265,0.011865850809015048,0.012309864528420486,0.004766365646431653,0.005818538121812877,0.011817040740880984,0.004050009557813846,0.006430650257277865,0.007470208604055258,0.0037036981197251305,0.013549964055239358,0.014900749535163483,0.013301806266086772,0.008407984555280107,0.01642230969173286,0.0040098732969707776,0.004406364584426548,0.009412914503139304,0.008274619679890174,0.0074036947161459895,0.010023000007416355,0.008209427902695517,0.006361787510641893,0.00857428063489744,0.006971526720951448,0.004768198448965446,0.009318197954455208,0.010652247380015726,0.008919146048182782,0.011806133124371038,0.007960929198447212,0.014299642843171034,0.008215693089880982,0.004989328044149806,0.006634905092224652,0.011279512905134797,0.005852820323073755,0.007776399401904778,0.00848494789409007,0.009060709657706723,0.005961041226145687,0.0035166415190856833,0.012727906873209177,0.006508624938507011,0.009807248112375927,0.006963030363611039,0.006899599045293889,0.006785465716543773,0.0030796320623500614,0.00749364113684916,0.012488688114256123,0.006925274921791978,0.0046799752382382254,0.00425647505958426,0.003879168783431888,0.005350734860984372,0.0033356682599930683,0.004794201970322815,0.006312175905029251,0.005439535637946841,0.0076383010848263344,0.003267163266967436,0.007379374202068308,0.006708676995896581,0.0015799694081019583,0.009974489135194562,0.006210778825943372,0.004025806635457249,0.0018788272835212195,0.005426372824809255,0.003980155125087946,0.005863907891303213,0.0047733152633591906,0.0029412110577413273,0.003927687188088262,0.0019480903200216314,0.002209753836079987,0.002607940658238415,0.00445274530450666,0.006311644991941537,0.004633771252307687,0.0047172146425433475,0.006765095137029068,0.009493916473952969,0.0019217337183920782,0.00995865725710894,0.007446917703830001,0.0034667007348882064,0.006576917298378964,0.003341530708435883,0.001598488329383066
1,JP,1627,0.020267096348122623,0.00873606327278105,0.009760663457473387,0.009030939902704321,0.023988946103848545,0.007447984846739134,0.04044909545874517,0.005872114892118005,0.01723283056573948,0.011945577366761616,0.0185871005881534,0.013805597501600696,0.018318095284336214,0.00829844403504364,0.01381027890893333,0.012606613300772788,0.004883191532425431,0.019369338900390512,0.01655802927971202,0.0137858514182308,0.013105661225151402,0.007536170610801492,0.006897938320422683,0.013983271596408851,0.017974209845287917,0.004724461008323551,0.0017009141925027936,0.0037875169094518223,0.0014755990213051863,0.013553602805569725,0.005244725078280382,0.007914853404389566,0.005065229559626525,0.006051573604432153,0.0100118083680739,0.007746062828108042,0.0030735004883999315,0.011438597895192902,0.006949040722520567,0.007083369570826531,0.0034802768062774454,0.005601304535962246,0.0012647265446656323,0.016772173502326022,0.010608347864456804,0.013198134193581373,0.008634473980614118,0.014000749019354932,0.0070283518533840825,0.004976118401381627,0.013499670693530644,0.009914876284944618,0.005470749710413862,0.008895611618813103,0.012553321936400248,0.0069133024361817,0.01081067681187084,0.00962698649631768,0.004661447895601719,0.010343177708598078,0.011548837578014457,0.013599379771911205,0.01201231130474923,0.00835612845793726,0.0216126535017827,0.009477044589872934,0.0029716811194644963,0.010022307699458062,0.004642076577610602,0.005393469366773657,0.00801132518778251,0.009776649534777433,0.009899514809012177,0.003822157065001737,0.002221213029647055,0.011507935819535199,0.00753080066534744,0.009499804636439948,0.004842446090564139,0.0038562382236480507,0.003297609930111667,0.0024688286435598453,0.005484276974701783,0.007128908173915668,0.0042003759782819,0.003715590456619683,0.002254074957890412,0.0021046009035894367,0.005500026951774987,0.0023213374584136535,0.0026814834708890015,0.010521427410012692,0.011828595510670777,0.0062990785442225685,0.005473182424108163,0.005216634202592457,0.009270722132857763,0.0027235926378628363,0.009953787709975882,0.0021027247514272627,0.002313207246953667,0.0012440243058112399,0.003037842071464089,0.0057561447436454884,0.003833154046888121,0.00444075117328151,0.0019700587579764093,0.008177912350481422,0.002354901451942274,0.0036715541172600945,0.00259500357682618,0.008548842859577056,0.0036354574735265274,0.003013229749472282,0.0057077323369465905,0.00267590038408583,0.009814954933830784,0.0008147865341929838,0.005704221816409319,0.008148778327009342,0.001648153982970549,0.003499974464453633,0.002430588822839169,0.0014855519049587092
2,GB,536,0.005977072477318088,0.009243297214664856,0.009425842370864839,0.003792475645438515,0.02877390059423344,0.004811626011118768,0.05566021998696891,0.007239305440768882,0.018497086028723013,0.01468867967850377,0.01396089190248776,0.010472374852322556,0.005648079558216742,0.01053249230957174,0.014703912895977481,0.01313637156347355,0.003129223597522201,0.01619919044437964,0.008325903536807138,0.0070792930786442694,0.006890561435401451,0.006191571522345633,0.010115644806348629,0.009000673389349184,0.024097347517725968,0.00639152986934184,0.0011172524413636464,0.0010348023887798638,0.006599397994461147,0.019530858970773415,0.0023622033992134668,0.011577783101373864,0.002179409668828769,0.007133668716959713,0.01336768836967717,0.014111136349830933,0.006873984117231557,0.004222572491966576,0.016313754382250387,0.0026965975832379243,0.00903217367338592,0.00816365383240747,0.004529941539986487,0.015278335732957338,0.02073711377762928,0.01410930628042779,0.00977217641858638,0.01672786288582133,0.00316325671554773,0.005223018299657807,0.009116034837230806,0.00965062265395554,0.007761772676009346,0.012518068716956491,0.0092149813139606,0.0056222997992424265,0.005909717409497093,0.007549497634596185,0.003878347317659587,0.009200567169217981,0.010462725059653974,0.00496379256070976,0.013303132384128117,0.006228211555737901,0.011404275063195374,0.007471945678835468,0.004654603091075122,0.00935927531297719,0.012156276147655987,0.004266413169807247,0.00869988952085408,0.0067168752440482996,0.010584009627030882,0.006410037621141685,0.005568251074502698,0.009023852634985114,0.004452577974000143,0.010489694456929533,0.009224984226388773,0.005389248658331339,0.006748901151250927,0.004827183901437537,0.007427675753401947,0.008745916675002848,0.005344361495209632,0.004322662602869457,0.004596218445004219,0.00292840521150325,0.004184069080242276,0.0031234090540017737,0.0057829881594805505,0.0051897915857506225,0.0038984768372304092,0.007978495408529405,0.0019296038632138283,0.007709382070906381,0.004146498505582565,0.0011570381825215179,0.00929996139835385,0.004432520118156283,0.007056857817608823,0.0012143742435894809,0.005016386634211584,0.003232862880539503,0.010194393656864418,0.0036531976659086047,0.0028372453221643117,0.0021460953327656507,0.0017438436335521835,0.0019920608498184156,0.0017213328239693904,0.0042526350196803245,0.007420447168216986,0.00669710607889514,0.005194067957292181,0.007699758142975121,0.009015423086469547,0.0025409504034815717,0.011144683767990604,0.0062394881208283764,0.002488279121837981,0.008056197671574445,0.0017071142716139087,0.0018671413773105195
3,CA,352,0.003663625906114307,0.010676811363960927,0.009978720795177662,0.003786842192407811,0.028714135027550016,0.004474053823584979,0.05788705116763159,0.007422194664026319,0.019940069291233053,0.013242026092479252,0.01943068397764235,0.012213193455566847,0.0047045441498162095,0.011264965604173336,0.01301533443985115,0.01563812928356711,0.003800098855368518,0.0184370375177369,0.007166867073993329,0.007931679463094967,0.0068531910018883166,0.0075332807147482925,0.014407188110141881,0.008474502565617882,0.029020768489111247,0.004777459217589113,0.0037589068679522485,0.001388916062715129,0.0047848611709769,0.02098702553228968,0.0024113085557087763,0.014115291711758078,0.0019762348852080665,0.006989484967977141,0.013287367385354102,0.015244918314316652,0.006225060454137621,0.004080136795412157,0.0150797718420351,0.0029570583181288634,0.007141866841480535,0.004908645504321219,0.0025254297370666968,0.010861520275825556,0.010061506432914672,0.013686861852342986,0.005702222959816839,0.016611945013827026,0.0027462916485513347,0.004240562509891961,0.005674319476474587,0.006196153249279065,0.006108028352708365,0.009258096345660336,0.004363350777137025,0.0036762339684675727,0.006737799009127025,0.005581214275030571,0.0053198004608372915,0.009988324451588983,0.009854213746472244,0.006850598099556496,0.01014719087156691,0.009949249999937362,0.011252659214671392,0.007756052586496564,0.006986476635697697,0.0034403010189968646,0.01511851109674187,0.007758807732779727,0.007401852589129338,0.008097183665274147,0.0050599715873470815,0.006893602147256794,0.002934784294313096,0.011157287159306199,0.006076845107626552,0.007270901982784517,0.012537375076957354,0.006616812706072006,0.008320590963984468,0.004370206687414949,0.005834476241570222,0.0023051945308779497,0.0074483709014100665,0.004621738657813258,0.004085290972807519,0.005126435733704937,0.005656980442757664,0.004956614061764609,0.0058707791111532745,0.004573803688283894,0.003820768408378115,0.01068480194751058,0.0022722554254184057,0.009882442780278507,0.004988396889597299,0.0010609099886001864,0.01004065104088177,0.009335901491253143,0.005111017629250266,0.002685668012463467,0.005482593802133868,0.00356062027169811,0.00825557568110727,0.004388777477322878,0.004154946703770192,0.003246623446872697,0.0021426109595729607,0.0024579710261547864,0.002507777659761526,0.002594834925966282,0.0063577214968248835,0.0059994550330684316,0.0037699548012202874,0.008826280667629508,0.011379272877247583,0.002954421887412757,0.009958200875469577,0.0073661814992869975,0.004104310435222934,0.00671355876144413,0.005392897896241135,0.0030404686380167303
4,FR,198,0.002028062789838338,0.006531508306946629,0.006734106445817593,0.004496736947201423,0.027313574851350515,0.005263627579016463,0.05174884069778844,0.0064846257385851105,0.0191070360168231,0.014271405338810285,0.012406332488289982,0.009790057628793484,0.004741735016060101,0.009318784349763748,0.013205891848431276,0.013793397948844157,0.0020505591840820096,0.010981163287961579,0.008349323116504336,0.006122735155696804,0.003854345029469533,0.008583861249992747,0.012136030962990962,0.007705254230775967,0.02094177320137919,0.008607374055173374,0.002953773652982182,0.0012954366972508715,0.002966705461731654,0.017074813555457154,0.0025173397172346206,0.014631658438428815,0.0029919072701986033,0.009002857512900987,0.011188535022369425,0.01239158660768861,0.005875559026689683,0.004116952171992671,0.01575885142193305,0.003234924324593218,0.009441924809224615,0.005832161828117417,0.008794399835870008,0.011663052202421172,0.0329909674895222,0.016052744705567796,0.011236965920544939,0.016408797221599655,0.0031138715534191662,0.0037978706726808664,0.008521091589071175,0.005809814029733362,0.00982426597555408,0.009642457110573894,0.006516334557686581,0.0062880704626671795,0.006310577005669402,0.005249924134185952,0.004796922786288228,0.007239218848802081,0.011828937187734687,0.004984725647709534,0.011685014693756324,0.007917727538600016,0.011083861646191356,0.00718648511529333,0.004634931156116822,0.0048171098965470935,0.008899997245669759,0.0034019653151578563,0.007273639836885901,0.00886806668694962,0.008250995194113025,0.00462502090849848,0.006072049725029685,0.01118790062217373,0.005892059617600191,0.012175308735995875,0.007009741775872308,0.007450225352836922,0.004621409002323606,0.003466159475518658,0.007992190542561145,0.038864994956957395,0.007499574897417361,0.004171489236204522,0.0037832143608429285,0.0063391049797214905,0.006385381802076293,0.0032637888682293,0.003318912775034705,0.0048033641929590195,0.00394603767508263,0.005920692418205186,0.0032037921924880025,0.0058513476416794455,0.0031583441787682047,0.0009602041430471229,0.011895355676303504,0.009317004047940789,0.012189978147811859,0.002052187640847381,0.005796096189073467,0.0019517899002925163,0.009636158243279706,0.003139575422233021,0.003231181914515768,0.003176132358519624,0.0015297641872572224,0.002016691767188682,0.002481190246627205,0.0028357567405543965,0.005275282377075798,0.004846462381910474,0.003446387484789696,0.004141810696715768,0.009249548016929688,0.002339085922568132,0.008168736178897724,0.00806045841281503,0.0030042612631595066,0.008938326020607491,0.004421534873571981,0.0019629995636238477
5,DE,190,0.0034048484326843296,0.007054099727355025,0.006207135227626178,0.0033013836275757524,0.030914674558424785,0.003706116497842883,0.05739145305600475,0.013230535952475735,0.019835134424256797,0.016485502363084378,0.013474030122356769,0.013393677485177113,0.0037307817951287305,0.012506900909945043,0.011177729713442924,0.018465311364989648,0.002310663155228763,0.016212873782265966,0.006887473749149698,0.008947703461402395,0.004161461897022778,0.007607717613254378,0.015195080191396239,0.009378700417231121,0.032909247313321066,0.002801821886613882,0.002977704538181631,0.0008396996919661187,0.007256402749856008,0.021244557548554685,0.002659817779490541,0.012872100581828989,0.001667454159697407,0.009618823329510895,0.01200167750599611,0.02864521661378549,0.007376351768033481,0.0026686488506122968,0.021667732528485646,0.0030935777570413213,0.006374114483404485,0.005439573913516392,0.005235993549628851,0.012915772203941795,0.014097917444496146,0.01373467516900904,0.004779324376639882,0.01603972292630522,0.002586325186188507,0.0035195140547566958,0.00562894953470958,0.005679041486062773,0.006797299095623877,0.010786157531089104,0.005550201845963451,0.0020371337958545177,0.005202925893687055,0.0045871009923717405,0.00465636277029517,0.008263551286461786,0.010866733014562363,0.0021086565193333185,0.010308320439672433,0.009661190692182806,0.008388020288046746,0.008093833481846098,0.006632417325765024,0.0038558350168151206,0.014763869766932222,0.004726950753068409,0.006753006724027807,0.006930818479706929,0.0061558414324426975,0.005803672350431779,0.0026507238034032513,0.014197503677676936,0.005838377612163094,0.0053868639174814,0.009563223975739043,0.00684540987304423,0.007981371302500576,0.004558682663355869,0.007840461965190677,0.006781770367310733,0.006978923314856119,0.0037197356067560023,0.004225596181115035,0.0047670947095657945,0.007450802626697694,0.005507768988048376,0.004376958037262748,0.006449363887915952,0.004024497104232156,0.011293778482890787,0.0017122544839364776,0.010336000396863452,0.0027045994061418127,0.0007846243144016148,0.009358177102504348,0.004771306660247556,0.008287991038338802,0.0022796693816007152,0.006314633550717877,0.001974000154541304,0.011881028894786686,0.003655524788373132,0.004048076969746773,0.0023841161527241046,0.0015353405712191849,0.002003633762010755,0.0022441089333745073,0.0026410026333127897,0.0054917565040728845,0.0038063073941342353,0.003610181943606028,0.00949004172484918,0.008910442403897913,0.0027514258432086033,0.010636906948145805,0.005287937357334709,0.003028852309340685,0.009983825510745453,0.0011812186574373786,0.0022234581580393925
6,CN,172,0.015351691381791767,0.011561133498813561,0.009566154551269414,0.007893493366780992,0.024970536574060717,0.008179105755332544,0.0407799491577309,0.010288082615165044,0.012669177316127567,0.01526063630833774,0.01670945326512754,0.01177061099726603,0.015030030866881778,0.008703491929763068,0.016746358261473384,0.01110282525749817,0.0050213906997949274,0.01954692782449956,0.010311734681310337,0.009823973042179177,0.009936557632637464,0.007060130385067656,0.00597236776635638,0.013034307345860587,0.018992043466310574,0.004972911236870696,0.0007046745305478906,0.00227005177452489,0.0012755400274835345,0.011759420915937973,0.0026751303181225027,0.00733284060346505,0.0019374624592728652,0.004956057138813019,0.010295167772092318,0.006485861731053551,0.004382056420723125,0.008193341815448939,0.00917631452738259,0.003061096366403121,0.003544295307609728,0.006799069105150005,0.0009638377129902529,0.01782918139762182,0.012905948747198895,0.017919585813260492,0.011244409285411984,0.016751512916030803,0.005550030260538351,0.004085202703494397,0.014995009853133442,0.01166274324664383,0.00706899719993745,0.013652637983682792,0.010808939101200976,0.007765905641316454,0.011805734054775675,0.011158661332629377,0.004114324915479886,0.00860044146311258,0.011768154449219621,0.009826316722905837,0.013469500039419475,0.007016220085466139,0.019813570810003327,0.006186897006018469,0.0034751425774939217,0.011286870039993846,0.008780038661600771,0.005225405071669539,0.010019871695018757,0.008462378927688956,0.013877725663282386,0.005885101188371081,0.00387600697052042,0.012017941723081715,0.0077330855486072575,0.009498344564104843,0.006827946956384696,0.002367235497249199,0.005873583693504497,0.0061255205578178325,0.004192314166525653,0.009165422786140907,0.0038915394302367215,0.003933053681251786,0.003192229132649344,0.0020272598550455435,0.004009449300222958,0.003079165626962842,0.004011303501238314,0.008776598655744929,0.008715416021402975,0.0075914962057562095,0.004015144968527238,0.005533590769240774,0.007540840063951913,0.0013668636809500722,0.009255137609170327,0.0021990939249069115,0.0020954801230089483,0.001354049114489343,0.0038450685142433576,0.005590525761530346,0.004488594182403018,0.003779221770078445,0.0018783926460955865,0.00436541261846953,0.0015386598015580929,0.002942727866611319,0.0015820790169457986,0.007853758056478295,0.00401749745660083,0.0038515115305733966,0.006572467231927417,0.008064712413842292,0.01154963169764062,0.0007238285252295158,0.007069224741992899,0.007939657946126657,0.001665484486094789,0.006565865646944491,0.001980541555987415,0.001790269838979264
7,SE,148,0.0018945717143345774,0.0055220117401576395,0.007968283070664018,0.002545679563065928,0.029048411762042113,0.005594231623425486,0.05429231286349403,0.006132418822497165,0.01896466269507585,0.01772285327638353,0.015535794902317457,0.012938265019510597,0.003638253423702202,0.010708852520654583,0.012769300233556798,0.017038294725224168,0.002786680559891892,0.012406420990442335,0.005633401521643451,0.007844943723547236,0.005543390809919897,0.007547689745530006,0.01571784662434866,0.009496948060624904,0.028017473113027092,0.005552350414695232,0.001936374476731448,0.0006211003962358249,0.006780935127410679,0.021218021510834097,0.0025543478004724984,0.01708651033247468,0.0019955388829151896,0.005286436912060728,0.011118696621496258,0.021306055434895756,0.0086950509880753,0.002900891931077124,0.019935108318768567,0.0026324088004818108,0.007456748200675522,0.0063620243061320355,0.004258535784307798,0.011810464622062897,0.010746336690362089,0.01476120648098984,0.006550072857803829,0.018158300706399764,0.0037278609657287495,0.004290445476934887,0.004951492267553155,0.005792803103843666,0.006427406464140846,0.010147911895984275,0.005571228062567741,0.003799857212725147,0.0062235939017183444,0.005521066618769184,0.0037848371965149563,0.00846514634910457,0.010254931616602254,0.007396272743468966,0.011655458694055003,0.008926129709810743,0.009632727658533251,0.007993466592845213,0.006489385223824529,0.002328275586786457,0.016589722733444886,0.005778471134245681,0.006367308645231991,0.008493417777705937,0.005241481572119789,0.008335651566244448,0.0027871927061107484,0.012723709562515253,0.004789631622999131,0.007388041880898138,0.010991079421150476,0.005635447706561928,0.010816659045877397,0.0043181447334798674,0.006219250041183506,0.0010424576657908763,0.007709117551256082,0.00421450098704432,0.004462017693606958,0.004886560257434489,0.00475656286013901,0.004856163789411994,0.0064926952341574215,0.003986592148378116,0.0037956921558968642,0.011062665538983713,0.0019166931780689614,0.01022067416851824,0.0032921915122471456,0.0006580986371927224,0.011070058515864751,0.007660075520544182,0.005396089214077786,0.0016872800404810358,0.006860676641777415,0.002824871715274922,0.010838401935518122,0.003015462076857879,0.003519490759145734,0.00270435399421987,0.0025973286016280394,0.0017729523924938677,0.002334437879599757,0.0022002028244853407,0.006523059737102688,0.007780289757992073,0.004613570288727016,0.011326069191399066,0.009121793746018304,0.0026924196085266945,0.016007562151144385,0.00690191350968692,0.0043706376467865776,0.011870486886500728,0.0021099014339515387,0.0019599123583446806
8,SG,128,0.016081145563963315,0.011098115367637535,0.008262153555479717,0.007131074841084847,0.024296415108034295,0.007432572522268809,0.03866103487119286,0.00674661261886142,0.014455409711111923,0.013463174379212036,0.018544482408394587,0.012438038844767102,0.015287172384111421,0.007943269345273294,0.014706130965893655,0.010940278131881762,0.005706099300863057,0.018781531021458665,0.010142581548377362,0.010382584510549206,0.01083416006642815,0.007868454202088778,0.007171691125266612,0.013779781799431226,0.020507342902146883,0.0068977288975693865,0.0009908821549429344,0.0020128989001242047,0.001743527022376056,0.011412886295258365,0.0031964418047612567,0.007656953074135102,0.0017674966111212787,0.0052651158212909215,0.0100978924063176,0.007081534670752357,0.005272169246124679,0.009100379022006194,0.00850878747676858,0.0032503203838240196,0.003008899436280449,0.006010694565446251,0.0009279909637400118,0.016339897119922252,0.011270847140314129,0.018660614258907905,0.010802935785514207,0.01739732572688131,0.005737202721635032,0.004744658698908726,0.015356122153004146,0.012344091620576947,0.0057353235526653576,0.013631741440552994,0.009553043987048175,0.00929149348115522,0.011605999448972164,0.013947478216835818,0.003911822761279685,0.009464776760314653,0.012519506499935752,0.007698758177554668,0.013701846099932352,0.005910087378118888,0.01992106879489762,0.0069618349763658285,0.0028965172117895537,0.010433384716216625,0.008207402300999192,0.003629075219807602,0.01110689995849814,0.00860946737232374,0.01510322026281321,0.00501659195111729,0.004727815848592922,0.013577895788104533,0.007323651477461487,0.0098277325168811,0.007882951200018596,0.002115653727002231,0.004881326746201727,0.006873731197821727,0.005537467408984911,0.011875018420844893,0.003239631466514854,0.003872420547635879,0.001932781435279712,0.0025239428556668624,0.0037579643758823174,0.003490896977424687,0.0043978581442364,0.006783061802403097,0.008184591215882131,0.008822518766253343,0.0038929374723270225,0.006289709816503443,0.007259435691585604,0.0017028786892983483,0.00700673362867181,0.001339981928658385,0.00145321239275168,0.0017066328935928486,0.0028063599636835366,0.0038960027361325147,0.005480513507087474,0.004002489057913009,0.0014532006803444116,0.00463084009037111,0.0017399759460699662,0.003041730626720415,0.0019388187730016004,0.0071320199946907515,0.004525968661168097,0.004372877110752262,0.00770792716510489,0.010416500893272661,0.010727174896962458,0.0008715796845574695,0.005793265493704299,0.0071523049548430934,0.0016214797692259088,0.006936605901034179,0.0023424010322429687,0.0007545869851547156
